Pseudohydromys murinus,Pseudohydromys,murinus,CBUN,MW2700-106,PSEmuri_MW2700106_skull(2).lmk
Pseudomys australis,Pseudomys,australis,MV,C4544,PSD_australis_MV_C4544_skull_2703_1589_1553_00150498.resampled.lmk
Pseudomys fumeus,Pseudomys,fumeus,MV,C27811,Pse_fum_C27811_skull_2448_1559_1548_00153781.resampled.lmk
Rattus baluensis,Rattus,baluensis,EBD,BOR210,Rattus_ballutensis_BOR210_skull_1719_1609_3239_00135208.resampled.lmk
Rattus fuscipes,Rattus,fuscipes,MV,C17053,Rattus_fuscipes_C17053_skull_1661_1547_3317_0.0125107.resampled.lmk
Rattus norvegicus,Rattus,norvegicus,UM-ZOOL,3105,Rattus_norvegicus_Paul_skull_1661_1583_3529_00167528.resampled.lmk
Ratufa sp.,Ratufa,sp.,NHMUK,2022.24,Ratufa_NHMUK_2022_24_skull_2404_1669_1623_00292703.resampled.lmk
Reithrodontomys megalotis,Reithrodontomys,megalotis,UWBM,74514,Reithrodontomys_megalotis_UWDH_74514_skull.resampled.lmk
Rhinosciurus robinsoni,Rhinosciurus,robinsoni,NHMUK,1915.12.28.6,RHIrob_NHMUK_15_12_28_6_skull(2).lmk
Rhynchomys isarogensis,Rhynchomys,isarogensis,USNM,USNM573913,Rhynchomys_isarogensis_573913_36_848_796_1397.lmk
Rhynchomys soricoides,Rhynchomys,soricoides,FMNH,193836,Rhy_sor_193836_skull_4521_1759_1759_00150367.resampled.lmk
Salpingotulus michaelis,Salpingotulus,michaelis,NHMUK,65.4168,Sal_mic_NHM_skull_1783_1244_965_00118994.resampled.lmk
Sciurillus pusillus,Sciurillus,pusillus,NHMUK,1932.8.4.16,SCIpus_NHMUK_32-8-4-16.lmk
Sciurus aestuans,Sciurus,aestuans,MNHN-ZM-MO,1902-46A,Sciurus_aestuans_MNHN_1902_46_A_Guerlinguetus_skull_1334_1381_2029_0_023985.resampled.lmk
Sciurus vulgaris,Sciurus,vulgaris,MB,2022.2.12,Sciurus_vulgaris_MA_22212_skull_1467_1477_2188_00239867.resampled.lmk
Sciurus vulgaris,Sciurus,vulgaris,MB,2022.2.15,Sciurus_vulgaris_MB_22215_skull_1480_1439_2144_00239855.resampled.lmk
Sicista betulina,Sicista,betulina,CBUN,unreg1,Sicista_betulina_CBUN_unreg_01_skull.lmk
Soricomys leonardocoi,Soricomys,leonardocoi,FMNH,190966,Sor_leo_190966_skull_1940_1473_1488_00128923.resampled.lmk
Spalacopus cyanus,Spalacopus,cyanus,CBUN,SC2ID1,SPAcyanu_CBUNSC2ID1_skull(2).lmk
Spalax sp.,Spalax,sp.,CBUN,961,Spalax_961_skull_2319_1540_1487_00194707.resampled.lmk
Spalax sp.,Spalax,sp.,CBUN,ISR007,Spalax_IR005_ISR007?_skull_2312_1553_1460_00225026.resampled.lmk
Steatomys caurinus,Steatomys,caurinus,RMCA,1993.012.M.0353,STEcau_RMCA_1993_012_MO353_skull(2).lmk
Steatomys krebsi,Steatomys,krebsi,CBUN,RS0977,STEpar_CBUN_RS0977.lmk
Stenocephalemys albipes,Stenocephalemys,albipes,CBUN,ETH1426,Stenocephalemys_albipes_ETH1426_skull_1537_1417_3257_0010828.resampled.lmk
Stochomys longicaudatus,Stochomys,longicaudatus,MNHN-ZM-MO,2000-288,Stochomys_longicaudata_MNHN_2000_288_skull_1404_1383_2906_00150813_skull.lmk
Sundamys infraluteus,Sundamys,infraluteus,EBD,BORN282,Sundamys_infraluteus_BOR_282_skull_2881_1759_1759_00237971.resampled.lmk
Sundamys infraluteus,Sundamys,infraluteus,EBD,BORN510,Sundamys_infraluteus_BOR_510_skull_2837_1759_1759_00238143.resampled.lmk
Sundamys muelleri,Sundamys,muelleri,EBD,BOR572,Sundamys_muelleri_BOR_572_skull_1549_1548_3118_00171121.resampled.lmk
Sundamys muelleri,Sundamys,muelleri,EBD,BORN173,Sun_mue_BOR173_skull.lmk
Sundasciurus philippinensis,Sundasciurus,philippinensis,FMNH,208786,Sundasciurus_pilippinensis_philippinensis_FMNH_208786_skull_3080_1759_1759_00178777.resampled.lmk
Tachyoryctes annectes,Tachyoryctes,splendens,CBUN,ID558,Tachyoryctes_splendens_CBUN_ID558.lmk
